time,total_distance
2024-01-23 19:00:00,18.403
2024-01-23 19:00:01,18.752
2024-01-23 19:00:02,19.101
2024-01-23 19:00:03,20.377499999999998
2024-01-23 19:00:04,21.654
2024-01-23 19:00:05,31.334
2024-01-23 19:00:06,33.731
2024-01-23 19:00:07,51.624
2024-01-23 19:00:08,92.932
2024-01-23 19:00:09,112.763
2024-01-23 19:00:10,116.80300000000001
2024-01-23 19:00:11,120.843
2024-01-23 19:00:12,124.88300000000001
2024-01-23 19:00:13,128.014
2024-01-23 19:00:14,128.359
2024-01-23 19:00:15,144.769
2024-01-23 19:00:16,146.654
2024-01-23 19:00:17,157.78199999999998
2024-01-23 19:00:18,185.74899999999997
2024-01-23 19:00:19,195.93499999999997
2024-01-23 19:00:20,203.64399999999998
2024-01-23 19:00:21,205.02849999999998
2024-01-23 19:00:22,206.41299999999998
2024-01-23 19:00:23,212.166
2024-01-23 19:00:24,216.4645
2024-01-23 19:00:25,220.763
2024-01-23 19:00:26,232.722
2024-01-23 19:00:27,238.144
2024-01-23 19:00:28,241.584
2024-01-23 19:00:29,242.751
2024-01-23 19:00:30,243.63400000000001
2024-01-23 19:00:31,252.774
2024-01-23 19:00:32,257.551
2024-01-23 19:00:33,285.644002
2024-01-23 19:00:34,286.332002
2024-01-23 19:00:35,291.409002
2024-01-23 19:00:36,293.337002
2024-01-23 19:00:37,295.373002
2024-01-23 19:00:38,295.777002
2024-01-23 19:00:39,303.505002
2024-01-23 19:00:40,305.59500199999997
2024-01-23 19:00:41,313.87200199999995
2024-01-23 19:00:42,314.4226686666666
2024-01-23 19:00:43,314.9733353333333
2024-01-23 19:00:44,315.52400199999994
2024-01-23 19:00:45,343.57900199999995
2024-01-23 19:00:46,361.85800199999994
2024-01-23 19:00:47,384.37700199999995
2024-01-23 19:00:48,403.799002
2024-01-23 19:00:49,410.19100199999997
2024-01-23 19:00:50,416.067002
2024-01-23 19:00:51,421.943002
2024-01-23 19:00:52,422.457002
2024-01-23 19:00:53,426.382002
2024-01-23 19:00:54,430.307002
2024-01-23 19:00:55,430.794002
2024-01-23 19:00:56,431.281002
2024-01-23 19:00:57,431.785002
2024-01-23 19:00:58,433.232502
2024-01-23 19:00:59,434.680002
2024-01-23 19:01:00,440.769002
2024-01-23 19:01:01,441.353002
2024-01-23 19:01:02,446.136002
2024-01-23 19:01:03,454.221002
2024-01-23 19:01:04,466.387002
2024-01-23 19:01:05,473.291002
2024-01-23 19:01:06,480.195002
2024-01-23 19:01:07,481.13600199999996
2024-01-23 19:01:08,508.30499999999995
2024-01-23 19:01:09,532.333
2024-01-23 19:01:10,550.841002
2024-01-23 19:01:11,560.222002
2024-01-23 19:01:12,561.5940019999999
2024-01-23 19:01:13,562.966002
2024-01-23 19:01:14,564.338002
2024-01-23 19:01:15,587.743504
2024-01-23 19:01:16,611.149006
2024-01-23 19:01:17,619.366006
2024-01-23 19:01:18,627.583006
2024-01-23 19:01:19,627.843006
2024-01-23 19:01:20,630.2620059999999
2024-01-23 19:01:21,630.6680059999999
2024-01-23 19:01:22,663.6280059999999
2024-01-23 19:01:23,664.1835059999999
2024-01-23 19:01:24,664.7390059999999
2024-01-23 19:01:25,672.6050059999999
2024-01-23 19:01:26,678.7335059999998
2024-01-23 19:01:27,684.8620059999998
2024-01-23 19:01:28,687.4510059999998
2024-01-23 19:01:29,690.0400059999998
2024-01-23 19:01:30,696.1140059999998
2024-01-23 19:01:31,697.1840059999998
2024-01-23 19:01:32,717.1110059999999
2024-01-23 19:01:33,721.3200059999998
2024-01-23 19:01:34,722.3920059999998
2024-01-23 19:01:35,722.8160059999998
2024-01-23 19:01:36,723.2400059999998
2024-01-23 19:01:37,727.0180059999998
2024-01-23 19:01:38,738.6510059999998
2024-01-23 19:01:39,745.0070059999998
2024-01-23 19:01:40,745.2675059999998
2024-01-23 19:01:41,745.5280059999998
2024-01-23 19:01:42,752.4730059999998
2024-01-23 19:01:43,757.8580059999998
2024-01-23 19:01:44,763.2430059999998
2024-01-23 19:01:45,768.6280059999998
2024-01-23 19:01:46,792.3030059999998
2024-01-23 19:01:47,793.7950059999998
2024-01-23 19:01:48,795.2870059999998
2024-01-23 19:01:49,801.5410059999998
2024-01-23 19:01:50,807.1555059999998
2024-01-23 19:01:51,812.7700059999999
2024-01-23 19:01:52,832.5430059999999
2024-01-23 19:01:53,837.1196726666666
2024-01-23 19:01:54,841.6963393333332
2024-01-23 19:01:55,846.2730059999999
2024-01-23 19:01:56,847.3005059999998
2024-01-23 19:01:57,848.3280059999998
2024-01-23 19:01:58,857.0790059999998
2024-01-23 19:01:59,876.1900059999998
2024-01-23 19:02:00,887.8740059999998
2024-01-23 19:02:01,888.0510059999998
2024-01-23 19:02:02,888.2280059999998
2024-01-23 19:02:03,905.3590059999998
2024-01-23 19:02:04,905.8630059999998
2024-01-23 19:02:05,906.3670059999998
2024-01-23 19:02:06,916.7330059999998
2024-01-23 19:02:07,924.3610059999999
2024-01-23 19:02:08,926.7340059999999
2024-01-23 19:02:09,928.3260059999999
2024-01-23 19:02:10,929.572506
2024-01-23 19:02:11,930.819006
2024-01-23 19:02:12,932.463006
2024-01-23 19:02:13,934.107006
2024-01-23 19:02:14,941.3290059999999
2024-01-23 19:02:15,952.644006
2024-01-23 19:02:16,972.640004
2024-01-23 19:02:17,976.2670039999999
2024-01-23 19:02:18,988.1230039999999
2024-01-23 19:02:19,991.0090039999999
2024-01-23 19:02:20,1000.1770039999999
2024-01-23 19:02:21,1003.8370039999999
2024-01-23 19:02:22,1005.1630039999999
2024-01-23 19:02:23,1006.4890039999999
2024-01-23 19:02:24,1007.0030039999999
2024-01-23 19:02:25,1014.6920039999999
2024-01-23 19:02:26,1015.1697539999999
2024-01-23 19:02:27,1015.6475039999998
2024-01-23 19:02:28,1016.1252539999998
2024-01-23 19:02:29,1016.6030039999998
2024-01-23 19:02:30,1018.9000039999999
2024-01-23 19:02:31,1025.550004
2024-01-23 19:02:32,1026.4770039999999
2024-01-23 19:02:33,1027.6040039999998
2024-01-23 19:02:34,1033.3950039999997
2024-01-23 19:02:35,1041.4520039999998
2024-01-23 19:02:36,1044.8480039999997
2024-01-23 19:02:37,1048.2440039999997
2024-01-23 19:02:38,1068.7860049999997
2024-01-23 19:02:39,1069.9365049999997
2024-01-23 19:02:40,1071.0870049999996
2024-01-23 19:02:41,1077.9990049999997
2024-01-23 19:02:42,1080.2620049999996
2024-01-23 19:02:43,1080.9180049999995
2024-01-23 19:02:44,1090.9420049999994
2024-01-23 19:02:45,1103.6220049999995
2024-01-23 19:02:46,1122.3220049999995
2024-01-23 19:02:47,1128.4550049999996
2024-01-23 19:02:48,1137.2190049999995
2024-01-23 19:02:49,1159.9370069999995
2024-01-23 19:02:50,1196.0190069999996
2024-01-23 19:02:51,1199.4350069999996
2024-01-23 19:02:52,1202.8510069999998
2024-01-23 19:02:53,1208.686507
2024-01-23 19:02:54,1214.5220069999998
2024-01-23 19:02:55,1220.2790069999996
2024-01-23 19:02:56,1226.0360069999997
2024-01-23 19:02:57,1227.2050069999998
2024-01-23 19:02:58,1227.7450069999998
2024-01-23 19:02:59,1229.8810069999997
2024-01-23 19:03:00,1232.0170069999997
2024-01-23 19:03:01,1235.1100069999998
2024-01-23 19:03:02,1239.6020069999997
2024-01-23 19:03:03,1241.5570069999999
2024-01-23 19:03:04,1243.5120069999998
2024-01-23 19:03:05,1246.3320069999997
2024-01-23 19:03:06,1247.5065069999996
2024-01-23 19:03:07,1248.6810069999997
2024-01-23 19:03:08,1253.0740069999997
2024-01-23 19:03:09,1257.4130069999997
